2.7722,2.9481,2.7857
3.1825,3.0347,3.4329
2.9595,2.9826,3.1704
2.8272,3.0655,3.5893
2.303,3.179,3.0201
2.196,3.3365,3.2043
2.4918,3.3031,2.9474
2.6399,3.26,3.256
2.8798,3.3927,3.157
2.2844,2.8579,2.9153
3.0247,2.9647,3.3936
2.6452,3.1898,3.6949
2.9065,3.6164,3.1847
3.3813,3.4593,2.5672
2.5693,3.6064,2.8566
2.9595,2.9826,3.1704
2.4219,2.775,2.8482
2.636,2.9494,2.934
2.3637,3.372,2.8326
2.698,2.4459,2.4542
2.9732,3.2789,3.1152
3.3443,3.1092,3.2465
2.594,3.5957,3.1794
2.7145,3.445,3.1471
3.0068,3.2,3.2984
3.3419,3.2835,2.973
2.7624,3.014,3.0188
2.9626,2.9205,2.6374
3.1842,2.5333,3.1892
3.5061,2.455,2.8865
2.4699,3.3378,2.5494
2.6809,3.7418,2.7933
2.6121,3.3595,3.1651
2.5359,3.131,3.3518
3.6692,2.9904,3.3647
2.0729,3.5001,2.8002
2.6049,3.0487,2.761
2.5614,3.2733,2.8293
2.584,2.7964,3.5846
2.923,3.3621,3.1229
2.7645,3.0956,2.9409
2.6506,3.0599,2.8506
2.6317,2.8748,2.9549
3.2361,2.6469,2.7852
2.4199,3.0908,3.0572
2.7457,2.8372,3.1469
2.4428,3.2136,3.0482
2.3458,2.971,3.3296
2.3229,2.9478,3.1919
2.9035,3.31,3.5122
2.7416,2.8893,3.4377
3.5783,2.931,3.6673
2.6145,2.7985,3.1324
3.0027,2.5848,3.3453
2.7801,3.1258,2.9436
2.6751,2.6249,2.9124
2.666,2.9259,3.0144
2.259,2.7822,3.0627
2.6031,3.2867,2.2986
3.6499,3.2002,3.2111
3.9048,2.5118,2.4724
2.7317,3.2727,3.077
2.5796,3.2579,2.9867
3.0746,3.1669,3.4404
2.1753,3.3113,2.5863
2.5846,3.2086,3.0368
2.6343,2.4222,3.5091
2.9956,2.338,3.1003
2.8588,3.076,2.7535
2.821,3.1112,3.1779
2.4064,3.4871,2.5969
2.1821,3.6649,3.0032
2.9058,2.9281,3.309
2.352,3.0578,3.8104
2.8468,2.281,2.8163
3.1369,3.0683,3.5583
3.3242,2.747,3.0684
2.9727,3.0495,2.7041
2.6847,3.2826,3.1412
2.7942,3.2527,2.5613
2.7819,3.5695,3.0247
2.8142,3.377,2.998
3.097,3.657,3.2325
2.6005,3.4975,3.3351
2.4018,3.4975,2.8774
2.4638,2.9811,3.5389
2.9613,2.7213,3.1385
2.5141,3.0021,2.7732
2.6231,2.7659,2.7447
3.1605,2.7116,2.7618
2.9838,3.2327,3.2375
2.696,3.3432,2.6983
2.7369,3.4261,2.6015
2.5984,2.9068,3.5367
2.8141,3.0995,3.11
2.7212,2.8437,3.1694
2.9055,3.1538,3.4129
2.9492,3.0337,2.9495
2.6276,3.1335,3.1795
2.8245,3.5486,3.7182
2.4762,2.6707,3.0936
3.0137,2.5384,3.2066
2.5511,2.7065,3.4992
2.5386,3.1353,3.2443
3.164,2.7467,3.0842
3.0774,3.1355,2.7998
3.1038,2.9238,3.0251
3.0351,2.8688,3.2109
2.7258,3.1376,3.5197
3.3513,2.6121,2.8483
3.0973,2.9553,3.4101
3.2312,2.8121,2.8411
2.9829,2.9807,3.364
2.2539,3.4451,3.2481
2.5184,3.0228,2.5397
2.8398,3.5831,3.2648
2.9486,3.0099,3.0272
2.4021,2.8596,2.9152
2.4361,3.3491,3.3622
2.9863,3.0007,3.579
3.0331,2.7801,3.0874
3.405,3.2911,3.1386
2.8815,3.5939,2.1334
2.2121,2.9557,3.0741
2.7845,3.0115,2.8758
3.2286,3.5521,2.9565
2.5028,2.9155,2.9721
2.4137,3.762,2.8943
2.3356,4.0793,2.542
3.3979,2.7836,3.3749
2.5172,2.3503,3.5246
2.7503,2.9071,3.6778
2.8282,2.7095,3.1268
3.0651,2.8798,2.5481
2.9172,2.3786,3.0305
3.4429,3.1226,3.2861
3.2242,3.3021,3.3851
2.6812,3.3967,2.9257
2.9568,3.3286,2.5613
3.0564,3.1024,3.1552
2.6969,3.7475,2.5672
2.6468,3.043,2.5964
2.8807,3.0191,3.0065
2.7686,3.023,2.9014
2.5385,3.333,2.5722
2.422,3.382,2.9814
3.5323,3.0514,2.6133
3.2386,3.3265,2.6425
2.7911,2.8888,2.6523
2.2809,3.0086,3.0945
3.4136,3.05,3.4479
3.2037,3.7907,2.8558
2.5818,2.5594,2.9498
2.9964,3.1306,3.0662
3.2023,2.8591,3.4784
3.9434,2.8934,2.699
2.7911,3.7861,2.9876
2.5477,3.3626,3.0048
2.9318,3.6994,2.8835
2.3528,3.2529,3.2555
3.0216,3.01,2.639
2.5118,3.4267,3.1024
2.4325,3.2468,2.9967
3.0592,3.5526,2.6836
2.7697,2.7045,3.0784
2.4929,2.8459,3.1821
2.7704,3.0467,2.8752
2.9567,2.8478,2.6852
2.8851,2.973,2.7572
3.2036,3.4864,2.9514
2.677,2.9289,3.0306
2.8767,2.8204,3.0134
2.9619,3.0405,3.1287
2.7312,3.1708,3.2792
2.7439,3.185,2.5995
2.3987,3.1358,3.1362
3.0336,3.0513,2.874
3.6973,3.2571,2.7147
3.1335,2.9727,3.002
3.0466,3.1741,3.4106
3.0516,3.1883,3.0926
2.707,3.0566,3.2594
3.013,2.8105,3.0387
2.7377,3.4081,3.3029
2.6077,3.0235,2.803
2.7845,2.4594,3.1652
2.9726,2.676,3.2817
2.7613,3.0185,2.6819
3.268,3.5997,2.8566
2.2717,3.4537,3.1172
3.1624,2.6143,3.9159
3.4226,2.9897,3.0742
2.9333,3.0655,3.4702
2.9546,2.9402,2.9364
3.104,3.7598,2.4466
3.2222,3.1681,2.934
2.7594,3.4806,2.5122
3.2812,2.8228,2.9629
2.7746,2.8916,2.9509
2.5786,2.6599,3.099
2.8721,3.2802,3.2229
2.7309,3.1219,2.7971
2.447,2.7695,3.2196
2.6304,3.0758,2.4935
3.9817,2.7931,2.4097
3.6999,2.6529,3.1704
2.9379,2.9024,2.6189
2.7348,3.4846,2.4622
2.858,2.9894,3.0278
2.6063,3.6173,3.2406
2.7885,3.07,3.2941
2.9557,3.2077,3.66
3.303,2.534,2.9794
